distance,velocity,angle,rcs,label
519,51.900000000000006,850,131.41083,0
519,51.900000000000006,850,187.46655,0
518,51.800000000000004,849,164.67296,0
519,51.900000000000006,850,149.46219,0
519,51.900000000000006,850,171.96698,0
518,51.800000000000004,850,124.4736,0
519,51.900000000000006,849,179.22523,0
519,51.900000000000006,850,129.34248,0
517,51.7,850,275.3916,0
518,51.800000000000004,850,148.6893,0
518,51.800000000000004,850,146.50482,0
518,51.800000000000004,850,157.6478,0
519,51.900000000000006,850,132.13979,0
517,51.7,850,145.61737,0
518,51.800000000000004,849,162.64111,0
519,51.900000000000006,850,154.95302,0
517,51.7,850,163.27754,0
518,51.800000000000004,850,131.93243,0
519,51.900000000000006,850,203.7725,0
519,51.900000000000006,850,147.95158,0
519,51.900000000000006,850,137.39575,0
518,51.800000000000004,850,167.3806,0
518,51.800000000000004,849,249.49579,0
518,51.800000000000004,849,121.37244,0
518,51.800000000000004,850,220.13934,0
519,51.900000000000006,850,183.81561,0
519,51.900000000000006,850,146.26775,0
519,51.900000000000006,850,152.08755,0
519,51.900000000000006,850,157.74333,0
519,51.900000000000006,850,167.98871,0
519,51.900000000000006,850,146.27916,0
518,51.800000000000004,850,177.12302,0
518,51.800000000000004,850,119.42113,0
517,51.7,850,161.18753,0
519,51.900000000000006,850,116.97442,0
517,51.7,850,151.927,0
519,51.900000000000006,850,144.2148,0
517,51.7,850,143.64624,0
519,51.900000000000006,850,153.28302,0
517,51.7,850,200.50047,0
518,51.800000000000004,849,228.58482,0
518,51.800000000000004,850,129.95245,0
518,51.800000000000004,850,124.865776,0
519,51.900000000000006,850,308.05283,0
519,51.900000000000006,850,173.58351,0
517,51.7,850,231.9579,0
517,51.7,850,198.1136,0
519,51.900000000000006,850,185.86925,0
519,51.900000000000006,850,149.19324,0
518,51.800000000000004,850,278.94104,0
518,51.800000000000004,850,155.85641,0
519,51.900000000000006,850,250.132,0
519,51.900000000000006,850,381.74533,0
519,51.900000000000006,850,226.64438,0
519,51.900000000000006,850,197.38857,0
519,51.900000000000006,850,182.0965,0
519,51.900000000000006,850,157.58942,0
519,51.900000000000006,850,257.9357,0
519,51.900000000000006,850,146.93597,0
519,51.900000000000006,850,178.34688,0
518,51.800000000000004,850,256.2822,0
518,51.800000000000004,850,139.22556,0
519,51.900000000000006,850,154.40274,0
519,51.900000000000006,850,197.32184,0
517,51.7,850,182.28833,0
519,51.900000000000006,850,174.67854,0
517,51.7,850,249.95563,0
519,51.900000000000006,850,174.82837,0
517,51.7,850,338.4845,0
519,51.900000000000006,850,122.487335,0
519,51.900000000000006,850,318.1003,0
519,51.900000000000006,850,208.3045,0
519,51.900000000000006,850,249.46848,0
519,51.900000000000006,850,267.1349,0
519,51.900000000000006,850,146.43762,0
519,51.900000000000006,850,239.1852,0
518,51.800000000000004,850,125.23626,0
518,51.800000000000004,850,224.06184,0
517,51.7,850,297.3042,0
518,51.800000000000004,850,286.37457,0
518,51.800000000000004,850,294.13293,0
518,51.800000000000004,850,280.991,0
518,51.800000000000004,850,127.332,0
518,51.800000000000004,850,156.29953,0
518,51.800000000000004,850,147.04903,0
519,51.900000000000006,850,265.70438,0
519,51.900000000000006,850,353.4755,0
518,51.800000000000004,850,167.20306,0
518,51.800000000000004,850,349.90714,0
519,51.900000000000006,850,189.27943,0
519,51.900000000000006,850,171.1741,0
519,51.900000000000006,850,158.45122,0
519,51.900000000000006,849,189.51373,0
518,51.800000000000004,850,190.26492,0
519,51.900000000000006,850,259.11087,0
519,51.900000000000006,850,137.47166,0
519,51.900000000000006,850,155.76419,0
517,51.7,850,208.5904,0
518,51.800000000000004,850,233.84772,0
517,51.7,850,193.72418,0
519,51.900000000000006,850,155.03412,0
519,51.900000000000006,850,302.53033,0
519,51.900000000000006,850,169.46132,0
519,51.900000000000006,850,231.25946,0
518,51.800000000000004,850,151.42734,0
518,51.800000000000004,850,173.56322,0
518,51.800000000000004,849,229.73117,0
519,51.900000000000006,850,177.84311,0
519,51.900000000000006,850,218.42064,0
518,51.800000000000004,850,131.38611,0
518,51.800000000000004,850,239.2449,0
519,51.900000000000006,850,125.61065,0
518,51.800000000000004,850,230.26465,0
518,51.800000000000004,850,383.1838,0
519,51.900000000000006,850,184.01868,0
519,51.900000000000006,850,172.16626,0
519,51.900000000000006,850,177.21533,0
518,51.800000000000004,850,173.29143,0
518,51.800000000000004,850,206.36469,0
519,51.900000000000006,850,163.18707,0
519,51.900000000000006,850,142.61925,0
519,51.900000000000006,850,131.71988,0
518,51.800000000000004,850,162.31688,0
530,53.0,691,402.47757,2
519,51.900000000000006,850,176.05307,0
529,52.900000000000006,690,247.02881,2
519,51.900000000000006,850,213.4881,0
530,53.0,689,285.36465,2
519,51.900000000000006,850,221.84055,0
530,53.0,689,256.56213,2
519,51.900000000000006,850,172.46361,0
530,53.0,688,182.51552,2
519,51.900000000000006,850,147.15619,0
530,53.0,687,228.94601,2
518,51.800000000000004,850,221.90332,0
531,53.1,687,217.86674,2
519,51.900000000000006,850,226.1489,0
531,53.1,686,496.30676,2
518,51.800000000000004,850,161.84755,0
531,53.1,686,212.84155,2
519,51.900000000000006,850,208.61876,0
531,53.1,685,231.6364,2
518,51.800000000000004,850,173.96454,0
531,53.1,685,351.6467,2
518,51.800000000000004,850,207.82104,0
531,53.1,683,273.24512,2
519,51.900000000000006,850,159.74721,0
531,53.1,683,334.25287,2
518,51.800000000000004,850,169.69476,0
531,53.1,682,556.8404,2
519,51.900000000000006,850,160.25746,0
